stage,first_date,first_sha,resolved,cohort_size,n_files
docs,2026-04-18,a5a6e0670,True,1,33
config,2026-07-03,345d9ec91,False,116,3
other,2026-07-03,345d9ec91,False,116,25
decision_surface,2026-07-03,345d9ec91,False,116,34
features,2026-07-03,345d9ec91,False,116,77
validation,2026-07-03,345d9ec91,False,116,39
models,2026-07-03,345d9ec91,False,116,93
portfolio_staking,2026-07-03,345d9ec91,False,116,24
backtesting,2026-07-03,345d9ec91,False,116,11
eval_metric,2026-07-03,345d9ec91,False,116,8
ingestion,2026-07-03,345d9ec91,False,116,20
notebook,2026-07-03,345d9ec91,False,116,2
monitoring,2026-07-09,582e359bb,True,14,5
calibration,2026-07-27,194ae57cc,False,25,6
