seq,mission_id,wo_sha,trace_sha,has_trace,same_commit_as_trace,elapsed_hours,gap_hours_since_prev,files_changed,insertions,deletions,top_level_dirs,lens_count,claim_level,role,has_decision_served,result_state,wo_rebased,wo_commit_time,trace_commit_time
1,tk-alpha-hypotheses-v1-2026-09-08,b4443a374,b4443a374,True,True,0.0,,7,1220,11,PROJECT_STATE.md|research,3,n-a,architect,False,completed,False,1788837918,1788837918
2,tk-peer-coverage-prereg-2026-09-08,b4443a374,b4443a374,True,True,0.0,0.0,7,1220,11,PROJECT_STATE.md|research,3,evidence,researcher,False,completed,False,1788837918,1788837918
3,tk-program-evidence-chain-2026-09-08,b4443a374,b4443a374,True,True,0.0,0.0,7,1220,11,PROJECT_STATE.md|research,3,evidence,validator,False,completed,False,1788837918,1788837918
4,tk-r6e-r6f-readiness-orient-2026-09-07,b4443a374,b4443a374,True,True,0.0,0.0,7,1220,11,PROJECT_STATE.md|research,3,evidence,validator,False,completed,False,1788837918,1788837918
5,tk-r6f-compute-2026-09-08,b4443a374,1c452d434,True,False,-0.63,0.0,7,1220,11,PROJECT_STATE.md|research,3,evidence,researcher,False,completed,False,1788837918,1788835634
6,tk-r6f-design-prereg-2026-09-08,b4443a374,b4443a374,True,True,0.0,0.0,7,1220,11,PROJECT_STATE.md|research,3,n-a,architect,False,completed,False,1788837918,1788837918
7,tk-r7-prereg-2026-09-08,8c31e7546,ac9aeba5f,True,False,-0.29,3.23,1,11,11,PROJECT_STATE.md,3,n-a,architect,False,completed,False,1788849535,1788848482
8,tk-r7-prereg-amend-2026-09-08,7ee039cd3,7ee039cd3,True,True,0.0,0.24,3,87,41,PROJECT_STATE.md|research,3,n-a,architect,False,completed,False,1788850400,1788850400
9,tk-r7-spec-stability-compute-2026-09-08,f3ed95894,f3ed95894,True,True,0.0,19.81,9,2425,25,PROJECT_STATE.md|data|reports|research|src|tests,3,evidence,researcher,False,completed,False,1788921701,1788921701
10,tk-domain-decision-orient-2026-09-09,d6f216862,d6f216862,True,True,0.0,14.19,1,11,10,PROJECT_STATE.md,3,n-a,product-strategist,False,completed,False,1788972781,1788972781
11,tk-fair-value-prereg-2026-09-09,df7f7e12c,df7f7e12c,True,True,0.0,1.55,3,480,9,PROJECT_STATE.md|research,3,n-a,architect,True,completed,False,1788978350,1788978350
12,tk-fair-value-prereg-validate-2026-09-09,980a0d5a6,980a0d5a6,True,True,0.0,0.84,1,5,5,PROJECT_STATE.md,3,n-a,validator,True,completed,False,1788981380,1788981380
13,tk-fair-value-prereg-correct-2026-09-09,940eb3232,940eb3232,True,True,0.0,0.7,3,192,40,PROJECT_STATE.md|research,3,n-a,architect,True,completed,False,1788983902,1788983902
14,tk-fair-value-prereg-revalidate-2026-09-09,189d0797a,189d0797a,True,True,0.0,0.13,2,14,12,PROJECT_STATE.md|research,3,n-a,validator,True,completed,False,1788984381,1788984381
15,tk-fair-value-source-audit-2026-09-09,4233b7733,4233b7733,True,True,0.0,0.26,3,67,12,PROJECT_STATE.md|research,3,n-a,researcher,True,completed,False,1788985317,1788985317
16,tk-sbr-odds-history-spike-2026-09-09,c917d7557,c917d7557,True,True,0.0,0.48,2,7,5,PROJECT_STATE.md|research,3,n-a,researcher,True,completed,False,1788987052,1788987052
17,tk-free-odds-source-spike-2026-09-09,c693be243,c693be243,True,True,0.0,1.0,23,8289,4,PROJECT_STATE.md|research,3,n-a,researcher,True,completed,False,1788990637,1788990637
18,tk-fundamental-pwin-prereg-2026-09-09,c9ceb1331,c9ceb1331,True,True,0.0,1.02,3,490,14,PROJECT_STATE.md|research,3,n-a,architect,True,completed,False,1788994303,1788994303
19,tk-pwin-prereg-validate-2026-09-09,d74d753fd,d74d753fd,True,True,0.0,1.12,1,6,6,PROJECT_STATE.md,3,n-a,validator,True,completed,False,1788998352,1788998352
20,tk-pwin-prereg-correct-2026-09-09,5ba329709,5ba329709,True,True,0.0,0.64,3,246,53,PROJECT_STATE.md|research,3,n-a,architect,True,completed,False,1789000651,1789000651
21,tk-pwin-prereg-revalidate-2026-09-09,ba53e4cf0,ba53e4cf0,True,True,0.0,0.12,2,16,14,PROJECT_STATE.md|research,3,n-a,validator,True,completed,False,1789001083,1789001083
22,tk-pwin-phase1-2026-09-09,e2cba800d,e2cba800d,True,True,0.0,0.34,3,145,7,PROJECT_STATE.md|research,0,n-a,engineer,False,completed,False,1789002302,1789002302
